start;end;regione;comune
35902976;35903231;Umbria;Perugia
35903232;35903487;Emilia-Romagna;Bologna
35903488;35903743;Emilia-Romagna;Argenta
35903744;35903999;Emilia-Romagna;Bologna
35904000;35904255;Veneto;Occhiobello
35904256;35904511;Veneto;Verona
35904512;35904767;Piemonte;Ivrea
35904768;35905023;Veneto;Venice
35905024;35905535;Piemonte;Ivrea
35905536;35905791;Toscana;Florence
35905792;35906047;Campania;Naples
35906048;35906303;Lazio;Rome
35906304;35906559;Sardegna;Cagliari
35906560;35906815;Lazio;Rome
35906816;35907071;Sardegna;Macomer
35907072;35907327;Piemonte;Ivrea
35907328;35908095;Lazio;Rome
35908096;35908607;Lazio;Ripa
35908608;35908863;Abruzzo;Lanciano
35908864;35909631;Piemonte;Ivrea
35909632;35909887;Sicilia;San Vito Lo Capo
35909888;35910399;Piemonte;Ivrea
35910400;35910655;Calabria;Praia a Mare
35910656;35911167;Piemonte;Ivrea
35911168;35911423;Puglia;Cagnano Varano
35911424;35911679;Campania;Naples
35911680;35911935;Calabria;Amantea
35911936;35912447;Campania;Naples
35912448;35912703;Calabria;Reggio Calabria
35912704;35912959;Calabria;Mangone
35912960;35913215;Campania;Naples
35913216;35913727;Piemonte;Ivrea
35913728;35914239;Lombardia;Milan
35914240;35914751;Lombardia;Cagnola
35914752;35915007;Lombardia;Milan
35915008;35915263;Lombardia;Cagnola
35915264;35915775;Lombardia;Milan
35915776;35916031;Lombardia;Cagnola
35916032;35917055;Lombardia;Milan
35917056;35917311;Lombardia;Cagnola
35917312;35917823;Lombardia;Milan
35917824;35918335;Lombardia;Bergamo
35918336;35918591;Sardegna;Oristano
35918592;35918847;Lombardia;Bergamo
35918848;35919103;Sardegna;Oristano
35919104;35919359;Lombardia;Brescia
35919360;35919871;Sardegna;Oristano
35919872;35920127;Lombardia;Milan
35920128;35920383;Piemonte;Ivrea
35920384;35920639;Lombardia;Milan
35920640;35921151;Piemonte;Ivrea
35921152;35921407;Lombardia;Milan
35921408;35921919;Piemonte;Ivrea
35921920;35922175;Lombardia;Milan
35922176;35922431;Piemonte;Galliate
35922432;35922687;Piemonte;Torino
35922688;35922943;Piemonte;Galliate
35922944;35923199;Lombardia;Mortara
35923200;35923711;Piemonte;Ivrea
35923712;35923967;Piemonte;Torino
35923968;35924223;Lombardia;Milan
35924224;35924479;Piemonte;Torino
35924480;35925247;Piemonte;Ivrea
35925248;35926527;Lombardia;Milan
35926528;35926783;Piemonte;Torino
35926784;35927039;Lombardia;Sondrio
35927040;35927295;Lombardia;Brescia
35927296;35927551;Lombardia;Codogno
35927552;35927807;Lombardia;Milan
35927808;35928063;Piemonte;Torino
35928064;35928319;Sardegna;Oristano
35928320;35928831;Lombardia;Brescia
35928832;35929343;Lombardia;Milan
35929344;35929599;Sardegna;Oristano
35929600;35929855;Piemonte;Ivrea
35929856;35930111;Lombardia;Milan
35930112;35930367;Piemonte;Ivrea
35930368;35930623;Piemonte;Galliate
35930624;35930879;Piemonte;Torino
35930880;35931135;Emilia-Romagna;Piacenza
35931136;35931391;Piemonte;Alessandria
35931392;35931903;Piemonte;Torino
35931904;35932159;Liguria;Genova
35932160;35932415;Piemonte;Ivrea
35932416;35932671;Liguria;Albenga
35932672;35932927;Lombardia;Milan
35932928;35933183;Liguria;Genova
35933184;35933439;Lombardia;Milan
35933440;35933695;Lombardia;Bergamo
35933696;35934463;Lombardia;Milan
35934464;35934719;Lombardia;Brescia
35934720;35934975;Piemonte;Torino
35934976;35935487;Piemonte;Biella
35935488;35935743;Lombardia;Casteggio
